symbol,budgetQuote,scenario,name,fromAt,toAt,preBenchmarkCashWaitMs,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,fullWindowMs,drawdownPpm,maximumLiquidityToExistingPpm,sourceGapMs,invalid
GOOGL,250000000,pinned_fork_costs,adaptive_economic,1785842666000,1789154999000,645866000,11106388,19806031,51005316,5385591,1,23,0,2970453000,3252515000,3958199000,91006,1130054,375843000,
GOOGL,250000000,double_gas_half_fees,fixed_20,1785842666000,1789154999000,645866000,-250377862,-241575772,45243494,185606082,1,418,0,291213000,3271005000,3958199000,1001073,150431634,1344567000,capital_exhausted
GOOGL,250000000,double_gas_half_fees,fixed_40,1785842666000,1789154999000,645866000,-101582555,-92780465,91162030,98409942,1,221,0,85529000,3274603000,3958199000,415757,82118860,375843000,
GOOGL,250000000,double_gas_half_fees,fixed_80,1785842666000,1789154999000,645866000,-34450871,-25648781,51096342,28033362,1,62,0,22642000,3274603000,3958199000,176206,42166680,375843000,
GOOGL,250000000,double_gas_half_fees,fixed_160,1785842666000,1789154999000,645866000,-14082317,-5280227,27196102,7672842,1,16,0,8472000,3274756000,3958199000,95733,21666163,375843000,
GOOGL,250000000,double_gas_half_fees,adaptive_width,1785842666000,1789154999000,645866000,-20623453,-11821363,40319150,21394062,1,47,0,291234000,3252515000,3958199000,100621,1766439,375843000,
GOOGL,250000000,double_gas_half_fees,adaptive_economic,1785842666000,1789154999000,645866000,-26127975,-17325885,285351,590922,1,0,0,3209355000,3252515000,3958199000,134503,1766439,375843000,
GOOGL,250000000,partial_mint_failure,fixed_20,1785842666000,1789154999000,645866000,-606373,8093270,274178730,128067768,100,399,99,226583000,2650503000,3958199000,312887,166581037,375843000,
GOOGL,250000000,partial_mint_failure,fixed_40,1785842666000,1789154999000,645866000,50518690,59218333,196197336,50811078,40,158,39,93074000,2938849000,3958199000,181254,7077373,375843000,
GOOGL,250000000,partial_mint_failure,fixed_80,1785842666000,1789154999000,645866000,39459795,48159438,111840230,15303854,12,48,11,42744000,3224337000,3958199000,109599,43315310,375843000,
GOOGL,250000000,partial_mint_failure,fixed_160,1785842666000,1789154999000,645866000,18714142,27413785,57179987,4368540,4,13,3,14387000,3270717000,3958199000,82357,21898567,375843000,
GOOGL,250000000,partial_mint_failure,adaptive_width,1785842666000,1789154999000,645866000,22136878,30836521,99735558,24070005,19,75,18,406865000,3218076000,3958199000,92345,1144189,375843000,
GOOGL,250000000,partial_mint_failure,adaptive_economic,1785842666000,1789154999000,645866000,21972122,30671765,60770731,5032470,4,16,3,2960360000,3244616000,3958199000,91006,1130054,375843000,
