horizonMinutes,regime,start,end,day,startCheckpoint,endCheckpoint,minutes,maxCheckpointGapSeconds,startTick,endTick,minTick,maxTick,absoluteReturnPct,returnPct,endpointTicks,peakExcursionTicks,downPriceTicks,upPriceTicks,swaps,volumeUsdg,cross10,cross20,cross30,cross40,cross50
30,weekend,2026-09-06T17:59:01.000Z,2026-09-06T18:29:42.000Z,2026-09-06,328,333,30.683333333333334,614.0,221881,221881,221881,221882,0.0017130699199952026,-0.0017130699199952026,0,1,1,0,1819,310733.435245,False,False,False,False,False
30,weekend,2026-09-06T18:29:42.000Z,2026-09-06T19:00:24.000Z,2026-09-06,333,337,30.7,612.0,221881,221880,221880,221881,0.01327348464017497,0.01327348464017497,1,1,0,1,1095,161426.832013,False,False,False,False,False
30,weekend,2026-09-06T19:00:24.000Z,2026-09-06T19:31:16.000Z,2026-09-06,337,341,30.866666666666667,622.0,221880,221876,221876,221881,0.03844479919072885,0.03844479919072885,4,4,1,4,872,332655.320518,False,False,False,False,False
30,weekend,2026-09-06T19:36:20.000Z,2026-09-06T20:11:51.000Z,2026-09-06,342,345,35.516666666666666,1212.0,221875,221876,221873,221877,0.011734978434718712,-0.011734978434718712,1,2,2,2,635,198513.892456,False,False,False,False,False
30,weekend,2026-09-06T20:11:51.000Z,2026-09-06T20:42:25.000Z,2026-09-06,345,350,30.566666666666666,612.0,221876,221870,221861,221876,0.05631007439825808,0.05631007439825808,6,15,0,15,854,515995.83398699993,True,False,False,False,False
30,weekend,2026-09-06T20:42:25.000Z,2026-09-06T21:17:57.000Z,2026-09-06,350,355,35.53333333333333,610.0,221870,221867,221864,221870,0.035336055261736554,0.035336055261736554,3,6,0,6,15828,2040325.6797119998,False,False,False,False,False
30,weekend,2026-09-06T21:17:57.000Z,2026-09-06T21:53:38.000Z,2026-09-06,355,359,35.68333333333333,924.0,221867,221871,221867,221873,0.045513217071757595,-0.045513217071757595,4,6,6,0,3772,575958.2704500001,False,False,False,False,False
30,weekend,2026-09-06T21:53:38.000Z,2026-09-06T22:24:15.000Z,2026-09-06,359,362,30.616666666666667,923.0,221871,221878,221871,221879,0.07018241542710024,-0.07018241542710024,7,8,8,0,3472,448623.461067,False,False,False,False,False
30,weekend,2026-09-06T22:24:15.000Z,2026-09-06T23:00:14.000Z,2026-09-06,362,366,35.983333333333334,619.0,221878,221874,221874,221878,0.042500603385464686,0.042500603385464686,4,4,0,4,4833,549390.483866,False,False,False,False,False
30,weekend,2026-09-06T23:00:14.000Z,2026-09-06T23:30:46.000Z,2026-09-06,366,369,30.533333333333335,613.0,221874,221877,221874,221877,0.027772269739279043,-0.027772269739279043,3,3,3,0,2081,208804.20769,False,False,False,False,False
30,weekend,2026-09-06T23:30:46.000Z,2026-09-07T00:01:36.000Z,2026-09-06,369,373,30.833333333333332,618.0,221877,221882,221876,221882,0.048486240219947074,-0.048486240219947074,5,5,5,1,973,201988.96382900004,False,False,False,False,False
30,weekend,2026-09-07T00:01:36.000Z,2026-09-07T00:32:12.000Z,2026-09-06,373,377,30.6,610.0,221882,221876,221876,221882,0.05966511777362182,0.05966511777362182,6,6,0,6,869,183745.96374500002,False,False,False,False,False
30,weekend,2026-09-07T00:32:12.000Z,2026-09-07T01:02:43.000Z,2026-09-06,377,383,30.516666666666666,309.0,221876,221878,221875,221878,0.021573605304947563,-0.021573605304947563,2,2,2,1,1456,194705.684595,False,False,False,False,False
30,weekend,2026-09-07T01:02:43.000Z,2026-09-07T01:33:03.000Z,2026-09-06,383,389,30.333333333333332,311.0,221878,221883,221878,221884,0.05584945277419262,-0.05584945277419262,5,6,6,0,1013,189372.93513199998,False,False,False,False,False
30,weekend,2026-09-07T01:33:03.000Z,2026-09-07T02:03:46.000Z,2026-09-06,389,395,30.716666666666665,312.0,221883,221872,221870,221884,0.11957440876633196,0.11957440876633196,11,13,1,13,462,287449.364769,True,False,False,False,False
30,weekend,2026-09-07T02:03:46.000Z,2026-09-07T02:34:18.000Z,2026-09-06,395,399,30.533333333333335,914.0,221872,221866,221865,221872,0.05496482280138437,0.05496482280138437,6,7,0,7,500,136442.022501,False,False,False,False,False
30,weekend,2026-09-07T02:34:18.000Z,2026-09-07T03:04:38.000Z,2026-09-06,399,404,30.333333333333332,604.0,221866,221864,221862,221866,0.019722138751698814,0.019722138751698814,2,4,0,4,664,252435.15636300002,False,False,False,False,False
30,weekend,2026-09-07T03:04:38.000Z,2026-09-07T03:35:04.000Z,2026-09-06,404,409,30.433333333333334,606.0,221864,221865,221858,221867,0.011594117285029792,-0.011594117285029792,1,6,3,6,455,243109.82551899998,False,False,False,False,False
30,holiday,2026-09-07T04:00:36.000Z,2026-09-07T04:30:54.000Z,2026-09-07,413,417,30.3,609.0,221865,221856,221852,221865,0.08699034559969121,0.08699034559969121,9,13,0,13,4563,905158.03732,True,False,False,False,False
30,holiday,2026-09-07T04:36:03.000Z,2026-09-07T05:12:02.000Z,2026-09-07,418,422,35.983333333333334,1240.0,221854,221855,221853,221862,0.007953390293236051,-0.007953390293236051,1,8,8,1,11387,1829469.2197740003,False,False,False,False,False
30,holiday,2026-09-07T05:12:02.000Z,2026-09-07T05:43:12.000Z,2026-09-07,422,425,31.166666666666668,940.0,221855,221856,221855,221857,0.01677716875836399,-0.01677716875836399,1,2,2,0,2355,404166.0183,False,False,False,False,False
30,holiday,2026-09-07T05:43:12.000Z,2026-09-07T06:14:03.000Z,2026-09-07,425,427,30.85,1546.0,221856,221856,221855,221858,0.004666538407116505,0.004666538407116505,0,2,2,1,5841,907993.837845,False,False,False,False,False
30,holiday,2026-09-07T06:14:03.000Z,2026-09-07T06:44:52.000Z,2026-09-07,427,431,30.816666666666666,620.0,221856,221853,221853,221856,0.024241974068162087,0.024241974068162087,3,3,0,3,5421,935562.510213,False,False,False,False,False
30,holiday,2026-09-07T06:44:52.000Z,2026-09-07T07:20:35.000Z,2026-09-07,431,435,35.71666666666667,918.0,221853,221832,221831,221853,0.21475212595014614,0.21475212595014614,21,22,0,22,2489,835176.2318259999,True,True,False,False,False
30,holiday,2026-09-07T07:20:35.000Z,2026-09-07T07:51:19.000Z,2026-09-07,435,438,30.733333333333334,920.0,221832,221835,221832,221837,0.029445587133924978,-0.029445587133924978,3,5,5,0,1486,332215.43014199997,False,False,False,False,False
30,holiday,2026-09-07T07:51:19.000Z,2026-09-07T08:21:53.000Z,2026-09-07,438,440,30.566666666666666,1532.0,221835,221820,221820,221835,0.15149029273873182,0.15149029273873182,15,15,0,15,1096,384861.646811,True,False,False,False,False
30,holiday,2026-09-07T08:21:53.000Z,2026-09-07T08:57:49.000Z,2026-09-07,440,444,35.93333333333333,1232.0,221820,221810,221810,221820,0.09424879167305722,0.09424879167305722,10,10,0,10,1448,327506.740841,True,False,False,False,False
30,holiday,2026-09-07T08:57:49.000Z,2026-09-07T09:28:08.000Z,2026-09-07,444,472,30.316666666666666,201.0,221810,221823,221799,221825,0.12416282766601894,-0.12416282766601894,13,15,15,11,1339,551462.299564,True,False,False,False,False
30,holiday,2026-09-07T09:28:08.000Z,2026-09-07T09:58:49.000Z,2026-09-07,472,500,30.683333333333334,124.0,221823,221834,221822,221834,0.11563842907849065,-0.11563842907849065,11,11,11,1,925,277754.333953,True,False,False,False,False
30,holiday,2026-09-07T09:58:49.000Z,2026-09-07T10:29:26.000Z,2026-09-07,500,527,30.616666666666667,123.0,221834,221838,221834,221841,0.04045738887298311,-0.04045738887298311,4,7,7,0,4499,641903.5560000001,False,False,False,False,False
30,holiday,2026-09-07T10:29:26.000Z,2026-09-07T11:00:10.000Z,2026-09-07,527,557,30.733333333333334,63.0,221838,221839,221834,221841,0.007243847563287442,-0.007243847563287442,1,4,3,4,2203,409409.339566,False,False,False,False,False
30,holiday,2026-09-07T11:00:10.000Z,2026-09-07T11:30:52.000Z,2026-09-07,557,586,30.7,123.0,221839,221838,221837,221841,0.01094493311095679,0.01094493311095679,1,2,2,2,1475,233544.91595400005,False,False,False,False,False
30,holiday,2026-09-07T11:30:52.000Z,2026-09-07T12:00:52.000Z,2026-09-07,586,615,30.0,82.0,221838,221848,221838,221849,0.10084280378753752,-0.10084280378753752,10,11,11,0,1678,303772.761476,True,False,False,False,False
30,holiday,2026-09-07T12:00:52.000Z,2026-09-07T12:31:34.000Z,2026-09-07,615,645,30.7,63.0,221848,221846,221845,221848,0.0253122916484827,0.0253122916484827,2,3,0,3,1557,203199.48688200006,False,False,False,False,False
30,holiday,2026-09-07T12:31:34.000Z,2026-09-07T13:02:14.000Z,2026-09-07,645,675,30.666666666666668,63.0,221846,221836,221835,221847,0.09994880518080507,0.09994880518080507,10,11,1,11,10054,1182945.1972629998,True,False,False,False,False
30,holiday,2026-09-07T13:02:14.000Z,2026-09-07T13:32:59.000Z,2026-09-07,675,705,30.75,63.0,221836,221831,221830,221837,0.04120632967081761,0.04120632967081761,5,6,1,6,4547,804862.8143079999,False,False,False,False,False
