window,cap,rangePolicy,kind,checkpoint,at,tokenIn,amountIn,amountOut,feeInput,feeQuote,spotShortfallQuote,impactBeyondFeeQuote
2026-09-08T20:00:07.000Z,800000,preserve_tokens,exit,3150,2026-09-09T07:51:01.000Z,NVDA,657344640237975361,148741298,328672320118988,74407,74488,81
2026-09-08T20:00:07.000Z,800000,net_swap,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,800000,net_swap,recenter,2769,2026-09-09T01:17:31.000Z,USDG,203948723,901483569370374270,101975,101975,102176,201
2026-09-08T20:00:07.000Z,800000,net_swap,recenter,3064,2026-09-09T06:21:00.000Z,USDG,188080507,830487557151109939,94041,94041,94167,126
2026-09-08T20:00:07.000Z,800000,net_swap,exit,3150,2026-09-09T07:51:01.000Z,NVDA,1567322410619292271,354647138,783661205309647,177412,177869,457
2026-09-09T19:59:38.000Z,600000,hold_range,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,600000,hold_range,exit,3944,2026-09-09T21:44:06.000Z,NVDA,2557444603113104865,571761242,1278722301556553,286024,287183,1159
2026-09-09T19:59:38.000Z,600000,hold_range,entry,3956,2026-09-09T21:56:26.000Z,USDG,369411287,1650941802002612812,184706,184706,185222,516
2026-09-09T19:59:38.000Z,600000,hold_range,exit,4069,2026-09-09T23:52:00.000Z,NVDA,1665319304877587262,372249868,832659652438794,186218,186480,262
2026-09-09T19:59:38.000Z,600000,hold_range,entry,4081,2026-09-10T00:04:18.000Z,USDG,432002643,1929269564618302795,216002,216002,216666,664
2026-09-09T19:59:38.000Z,600000,hold_range,exit,4097,2026-09-10T00:20:41.000Z,NVDA,2548177134328973224,569591246,1274088567164487,284938,285551,613
2026-09-09T19:59:38.000Z,600000,hold_range,entry,4109,2026-09-10T00:33:01.000Z,USDG,327443044,1464388879304150935,163722,163722,163924,202
2026-09-09T19:59:38.000Z,600000,hold_range,exit,4161,2026-09-10T01:26:21.000Z,NVDA,2807011662727613103,626022516,1403505831363807,313168,315416,2248
2026-09-09T19:59:38.000Z,600000,hold_range,entry,4173,2026-09-10T01:38:39.000Z,USDG,462663505,2075366291391118898,231332,231332,232637,1305
2026-09-09T19:59:38.000Z,600000,hold_range,exit,4532,2026-09-10T07:50:29.000Z,NVDA,932655667856740785,208028595,466327833928371,104066,104251,185
2026-09-09T19:59:38.000Z,600000,preserve_tokens,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,600000,preserve_tokens,exit,3944,2026-09-09T21:44:06.000Z,NVDA,2557444603113104865,571761242,1278722301556553,286024,287183,1159
2026-09-09T19:59:38.000Z,600000,preserve_tokens,entry,3956,2026-09-09T21:56:26.000Z,USDG,369411287,1650941802002612812,184706,184706,185222,516
2026-09-09T19:59:38.000Z,600000,preserve_tokens,exit,4069,2026-09-09T23:52:00.000Z,NVDA,1665319304877587262,372249868,832659652438794,186218,186480,262
2026-09-09T19:59:38.000Z,600000,preserve_tokens,entry,4081,2026-09-10T00:04:18.000Z,USDG,432002643,1929269564618302795,216002,216002,216666,664
2026-09-09T19:59:38.000Z,600000,preserve_tokens,exit,4097,2026-09-10T00:20:41.000Z,NVDA,2548177134328973224,569591246,1274088567164487,284938,285551,613
2026-09-09T19:59:38.000Z,600000,preserve_tokens,entry,4109,2026-09-10T00:33:01.000Z,USDG,327443044,1464388879304150935,163722,163722,163924,202
2026-09-09T19:59:38.000Z,600000,preserve_tokens,exit,4161,2026-09-10T01:26:21.000Z,NVDA,2807011662727613103,626022516,1403505831363807,313168,315416,2248
2026-09-09T19:59:38.000Z,600000,preserve_tokens,entry,4173,2026-09-10T01:38:39.000Z,USDG,462663505,2075366291391118898,231332,231332,232637,1305
2026-09-09T19:59:38.000Z,600000,preserve_tokens,exit,4532,2026-09-10T07:50:29.000Z,NVDA,335263315690515328,74780434,167631657845258,37408,37433,25
2026-09-09T19:59:38.000Z,600000,net_swap,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,600000,net_swap,exit,3944,2026-09-09T21:44:06.000Z,NVDA,2557444603113104865,571761242,1278722301556553,286024,287183,1159
2026-09-09T19:59:38.000Z,600000,net_swap,entry,3956,2026-09-09T21:56:26.000Z,USDG,369411287,1650941802002612812,184706,184706,185222,516
2026-09-09T19:59:38.000Z,600000,net_swap,exit,4069,2026-09-09T23:52:00.000Z,NVDA,1665319304877587262,372249868,832659652438794,186218,186480,262
2026-09-09T19:59:38.000Z,600000,net_swap,entry,4081,2026-09-10T00:04:18.000Z,USDG,432002643,1929269564618302795,216002,216002,216666,664
2026-09-09T19:59:38.000Z,600000,net_swap,exit,4097,2026-09-10T00:20:41.000Z,NVDA,2548177134328973224,569591246,1274088567164487,284938,285551,613
2026-09-09T19:59:38.000Z,600000,net_swap,entry,4109,2026-09-10T00:33:01.000Z,USDG,327443044,1464388879304150935,163722,163722,163924,202
2026-09-09T19:59:38.000Z,600000,net_swap,exit,4161,2026-09-10T01:26:21.000Z,NVDA,2807011662727613103,626022516,1403505831363807,313168,315416,2248
2026-09-09T19:59:38.000Z,600000,net_swap,entry,4173,2026-09-10T01:38:39.000Z,USDG,462663505,2075366291391118898,231332,231332,232637,1305
2026-09-09T19:59:38.000Z,600000,net_swap,recenter,4251,2026-09-10T02:58:29.000Z,USDG,200016761,895355730406269810,100009,100009,100203,194
2026-09-09T19:59:38.000Z,600000,net_swap,recenter,4407,2026-09-10T05:40:25.000Z,USDG,186544914,834543773003591186,93273,93273,93396,123
2026-09-09T19:59:38.000Z,600000,net_swap,exit,4447,2026-09-10T06:21:21.000Z,NVDA,3261973298616528454,727104456,1630986649308265,363735,365981,2246
2026-09-09T19:59:38.000Z,600000,net_swap,entry,4459,2026-09-10T06:33:38.000Z,USDG,345274562,1547453443499313404,172638,172638,173144,506
2026-09-09T19:59:38.000Z,600000,net_swap,recenter,4487,2026-09-10T07:04:24.000Z,USDG,189522073,848522903532641205,94762,94762,94903,141
2026-09-09T19:59:38.000Z,600000,net_swap,exit,4516,2026-09-10T07:34:07.000Z,NVDA,2684590675687835212,598207038,1342295337843918,299253,300797,1544
2026-09-09T19:59:38.000Z,700000,hold_range,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,700000,hold_range,exit,4069,2026-09-09T23:52:00.000Z,NVDA,2681773846121802833,599458332,1340886923060902,299879,300559,680
2026-09-09T19:59:38.000Z,700000,hold_range,entry,4081,2026-09-10T00:04:18.000Z,USDG,432698142,1932375569927515312,216350,216350,217016,666
2026-09-09T19:59:38.000Z,700000,hold_range,exit,4100,2026-09-10T00:23:47.000Z,NVDA,2965643181633305993,662575632,1482821590816653,331453,332284,831
2026-09-09T19:59:38.000Z,700000,hold_range,entry,4112,2026-09-10T00:36:07.000Z,USDG,329306505,1472724032504854716,164654,164654,164858,204
2026-09-09T19:59:38.000Z,700000,hold_range,exit,4165,2026-09-10T01:30:27.000Z,NVDA,3158849905934604125,704205818,1579424952967303,352280,355124,2844
2026-09-09T19:59:38.000Z,700000,hold_range,entry,4177,2026-09-10T01:42:45.000Z,USDG,329962227,1479996140519988460,164982,164982,165603,621
2026-09-09T19:59:38.000Z,700000,hold_range,exit,4532,2026-09-10T07:50:29.000Z,NVDA,301095298343279490,67159265,150547649171640,33596,33616,20
2026-09-09T19:59:38.000Z,700000,preserve_tokens,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,700000,preserve_tokens,exit,4069,2026-09-09T23:52:00.000Z,NVDA,2660309593506484507,594660422,1330154796753243,297479,298147,668
