symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
GME,5000000000,adaptive_economic,pinned_fork_costs,241,True,True,True,True,True,True,,False,1409600000,1182035000,29127000,5982095197,5608547438,447610066
GME,5000000000,fixed_20,double_gas_half_fees,2235,True,True,True,True,True,True,,False,3770001000,3132846000,239717000,3888970245,3390153785,511745573
GME,5000000000,fixed_40,double_gas_half_fees,815,True,True,True,True,True,True,,False,3896244000,3170842000,220960000,3815019652,3217644791,423369484
GME,5000000000,fixed_80,double_gas_half_fees,201,True,True,True,True,True,True,,False,3904613000,2877194000,175271000,3194005360,2404798888,304985516
GME,5000000000,fixed_160,double_gas_half_fees,60,True,True,True,True,True,True,,False,3811691000,353851000,45089000,1711532437,554819692,34929218
GME,5000000000,adaptive_width,double_gas_half_fees,367,True,True,True,True,True,True,,False,3741511000,1977248000,40523000,3050359701,2357509311,183038476
GME,5000000000,adaptive_economic,double_gas_half_fees,104,True,True,True,True,True,True,,False,1557366000,1272382000,19687000,1259714324,1138199094,78358696
GME,5000000000,fixed_20,partial_mint_failure,1723,True,True,True,True,True,True,,False,3338996000,3052900000,229205000,7760859426,7068026352,746912848
GME,5000000000,fixed_40,partial_mint_failure,689,True,True,True,True,True,True,,False,3713533000,3275459000,227128000,8697129795,7694010402,836212130
GME,5000000000,fixed_80,partial_mint_failure,201,True,True,True,True,True,True,,False,3846434000,3078185000,156388000,6770793166,5563609031,534682820
GME,5000000000,fixed_160,partial_mint_failure,57,True,True,True,True,True,True,,False,3792861000,1038708000,41642000,3846742945,1506317583,67524886
GME,5000000000,adaptive_width,partial_mint_failure,346,True,True,True,True,True,True,,False,3661434000,1927596000,47312000,5575470557,4338049760,181276608
GME,5000000000,adaptive_economic,partial_mint_failure,163,True,True,True,True,True,True,,False,1902255000,1316017000,39861000,3863414368,3389900117,86938475
GME,1000000000,fixed_20,pinned_fork_costs,2235,True,True,True,True,True,True,,False,3769668000,2639451000,142805000,6599189857,5151831913,267206777
GME,1000000000,fixed_40,pinned_fork_costs,821,True,True,True,True,True,True,,False,3896341000,583726000,58456000,4694541304,2454395719,83443403
GME,1000000000,fixed_80,pinned_fork_costs,205,True,True,True,True,True,True,,False,3922341000,347576000,31793000,2735778826,912445796,68038121
