symbol,budgetQuote,width,count,emptyBoundaryMarks,meanAbsoluteErrorQuote,baselineMeanAbsoluteErrorQuote,relativeErrorReduction,meanPredictedQuote,meanActualQuote
NVDA,5000000000,40,6219,0,848462.5317575173,872292.9342337997,0.027319265743238414,1036218.4727448142,989204.1535616659
NVDA,5000000000,80,6219,0,486968.4515195369,488075.59237819584,0.0022683798902221205,556626.710725197,556668.8811706062
NVDA,5000000000,160,6219,0,254861.85190545104,254861.72069464545,-5.14831357326356e-07,285283.0332850941,290045.6094227368
QQQ,250000000,20,1641,0,161449.7720901889,171329.96404631322,0.05766762405584548,136022.02925045704,117992.80804387569
QQQ,250000000,40,1641,0,96058.54174283973,96436.76660572822,0.003921998592454018,74885.83180987203,70867.6142595978
QQQ,250000000,80,1641,0,51203.29920780012,51203.384521633154,1.666175660567837e-06,37967.875685557585,38526.873857404025
QQQ,250000000,160,1641,0,26138.237659963437,26138.33942717855,3.893407819431672e-06,19079.92626447288,19790.319926873857
QQQ,1000000000,20,1641,0,587475.155393053,624586.7141986594,0.05941778453168064,514005.60694698355,415432.33577087143
QQQ,1000000000,40,1641,0,356088.10847044486,357540.14259597805,0.00406117790016663,289914.8897014016,255539.58805606337
QQQ,1000000000,80,1641,0,194540.96465569775,194541.00975015236,2.3179922145344895e-07,149240.39792809263,143763.77574649605
QQQ,1000000000,160,1641,0,101501.60450944546,101501.68068251066,7.504611223375426e-07,75630.71115173674,76081.1858622791
QQQ,5000000000,20,1562,0,2251719.8777208705,2378178.095390525,0.05317441024066297,2070062.3629961587,1486441.8988476312
QQQ,5000000000,40,1567,0,1387667.0689215062,1393777.425654116,0.00438402618677973,1221015.8959795788,923215.8238672623
QQQ,5000000000,80,1581,0,794900.0664136623,794899.8918406072,-2.196164030469742e-07,658953.1973434535,551666.4225173941
QQQ,5000000000,160,1588,0,433948.73614609573,433948.6964735516,-9.142219899034194e-08,344364.7191435768,308411.1379093199
SGOV,250000000,20,596,3,2525148.476510067,3333971.2298657717,0.2426003998205673,2530866.1912751677,19302.90268456376
SGOV,250000000,40,596,3,1626919.7298657717,1671919.0906040268,0.026914795692653867,1630007.9362416107,10009.196308724831
SGOV,250000000,80,597,3,921529.2110552763,921528.6415410385,-6.180103495248597e-07,923101.3182579564,5045.289782244556
SGOV,250000000,160,597,3,461975.8710217755,461975.61976549414,-5.438734657352193e-07,462762.8927973199,2530.9313232830823
SGOV,1000000000,20,590,3,6958309.001694915,9138507.840677965,0.23857273824052513,6976185.098305085,70213.16440677966
SGOV,1000000000,40,590,3,4540677.491525424,4622341.06440678,0.017667145661359032,4549823.813559322,36413.92881355932
SGOV,1000000000,80,592,3,2449941.3868243243,2449940.3243243243,-4.3368403281130114e-07,2455201.260135135,19090.116554054053
SGOV,1000000000,160,592,3,1230865.689189189,1230865.1925675676,-4.034736091494113e-07,1233496.7466216215,9619.523648648648
SGOV,5000000000,20,566,3,2683422.0282685515,3458066.697879859,0.2240109105143178,2730548.1201413427,265850.332155477
SGOV,5000000000,40,569,3,193610.05448154657,193610.1546572935,5.174095702869948e-07,213101.37785588752,142753.03866432337
SGOV,5000000000,80,577,3,3826494.2218370885,3826492.6967071057,-3.985712514181539e-07,3840658.7105719238,80729.50433275563
SGOV,5000000000,160,581,3,3232864.481927711,3232863.117039587,-4.221917459883456e-07,3241590.660929432,43156.502581755594
SLV,250000000,20,616,0,34705.09090909091,39759.607142857145,0.1271269159075251,55049.417207792205,46134.76461038961
SLV,250000000,40,616,0,22404.844155844155,22779.469155844155,0.016445730031592443,30965.097402597403,27771.36038961039
SLV,250000000,80,616,0,11952.675324675325,11952.75,6.247543425180371e-06,15863.741883116883,14623.082792207791
SLV,250000000,160,616,0,6025.922077922078,6026.006493506494,1.4008545212579674e-05,7987.4691558441555,7373.206168831169
SLV,1000000000,20,616,0,130286.88474025975,148415.92045454544,0.12215020907974625,206196.67532467534,172227.00487012987
SLV,1000000000,40,616,0,86216.21266233767,87540.68993506493,0.015129847316827528,118692.6948051948,106332.13474025975
SLV,1000000000,80,616,0,46736.7012987013,46736.75,1.0420343455909686e-06,61833.6525974026,57030.9025974026
SLV,1000000000,160,616,0,23809.381493506495,23809.464285714286,3.4772814204762787e-06,31493.396103896102,29089.602272727272
SLV,5000000000,20,601,0,528259.3327787021,592115.2828618968,0.1078437796345281,837137.8885191347,692087.4376039933
SLV,5000000000,40,602,0,373674.79900332226,377142.6395348837,0.009195037017925694,513068.5265780731,460196.65448504983
SLV,5000000000,80,602,0,211819.68936877078,211819.70099667774,5.489530445955337e-08,277426.18604651163,260013.06478405316
SLV,5000000000,160,602,0,111255.98671096345,111256.02325581395,3.284752540031951e-07,144606.88372093023,136888.0631229236
SPCX,250000000,20,5840,0,186014.60205479452,250930.05633561645,0.2586993970702264,237731.41660958904,168392.33818493152
SPCX,250000000,40,5840,0,110051.09366438356,130684.82174657534,0.1578892468645273,135477.65462328767,117640.46780821918
SPCX,250000000,80,5840,0,65883.6154109589,70455.83869863013,0.06489488127774043,77377.13390410959,73000.20890410959
SPCX,250000000,160,5840,0,37858.86780821918,38359.95136986301,0.01306267457986157,41534.79503424658,41114.985787671234
SPCX,1000000000,20,5840,0,659346.9371575343,881272.2542808219,0.25182378776283365,838694.7126712329,602730.3227739726
SPCX,1000000000,40,5840,0,410709.4241438356,485646.383390411,0.15430354638579394,504127.4741438356,437543.5030821918
SPCX,1000000000,80,5840,0,253220.7881849315,270426.2330479452,0.06362343131098254,297221.5595890411,279213.02311643836
SPCX,1000000000,160,5840,0,147938.8919520548,149899.45633561644,0.01307919609242645,162400.22619863015,160247.76506849314
SPCX,5000000000,20,5692,0,2305186.443780745,2995192.6995783555,0.2303712398520287,2909241.7127547436,2194962.0739634573
SPCX,5000000000,40,5695,0,1607601.4057945567,1863285.984547849,0.1372224021828499,1949814.8542581212,1702190.5645302897
